原子索引 | 珠子索引 | 珠子类型
-----------------------------
   0     |    13    | P6
   1     |    13    | P6
   2     |    13    | P6
   3     |    13    | P6
   4     |    13    | P6
   5     |    17    | SN3
   6     |    18    | N4
   7     |    18    | N4
   8     |    18    | N4
   9     |    18    | N4
   10    |    16    | SP3
   11    |    16    | SP3
   12    |    16    | SP3
   13    |    17    | SN3
   14    |    15    | P6
   15    |    15    | P6
   16    |    15    | P6
   17    |    14    | SP3
   18    |    14    | SP3
   19    |    14    | SP3
   20    |    15    | P6
   21    |    15    | P6
   22    |    12    | P2
   23    |    12    | P2
   24    |    27    | SN4
   25    |    27    | SN4
   26    |    27    | SN4
   27    |    29    | TC5
   28    |    29    | TC5
   29    |    23    | TC5
   30    |    23    | TC5
   31    |    24    | TC5
   32    |    24    | TC5
   33    |    12    | P2
   34    |    12    | P2
   35    |    8     | P2
   36    |    8     | P2
   37    |    19    | TC5
   38    |    19    | TC5
   39    |    1     | SN2
   40    |    1     | SN2
   41    |    1     | SN2
   42    |    20    | TC5
   43    |    20    | TC5
   44    |    8     | P2
   45    |    8     | P2
   46    |    5     | P2
   47    |    5     | P2
   48    |    5     | P2
   49    |    5     | P2
   50    |    10    | SN3
   51    |    11    | N4
   52    |    11    | N4
   53    |    11    | N4
   54    |    11    | N4
   55    |    9     | SP3
   56    |    9     | SP3
   57    |    9     | SP3
   58    |    10    | SN3
   59    |    7     | P6
   60    |    7     | P6
   61    |    7     | P6
   62    |    6     | SP3
   63    |    6     | SP3
   64    |    6     | SP3
   65    |    7     | P6
   66    |    7     | P6
   67    |    4     | P2
   68    |    4     | P2
   69    |    28    | SN4
   70    |    28    | SN4
   71    |    28    | SN4
   72    |    3     | TC5
   73    |    3     | TC5
   74    |    25    | TC5
   75    |    25    | TC5
   76    |    26    | TC5
   77    |    26    | TC5
   78    |    4     | P2
   79    |    4     | P2
   80    |    2     | N3
   81    |    2     | N3
   82    |    21    | TC5
   83    |    21    | TC5
   84    |    0     | SN2
   85    |    0     | SN2
   86    |    0     | SN2
   87    |    22    | TC5
   88    |    22    | TC5
   89    |    2     | N3
   90    |    2     | N3
   91    |    2     | N3
   92    |    4     | P2
   93    |    7     | P6
   94    |    10    | SN3
   95    |    5     | P2
   96    |    8     | P2
   97    |    12    | P2
   98    |    15    | P6
   99    |    17    | SN3
  100    |    13    | P6
